TIME,VOLTAGE,VELOCITY
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.26,0,0
0.31,0,0
0.36,0,0
0.41,0,0
0.46,0,0
0.51,0,0
0.56,0,0
0.61,0,0
0.67,0,0
0.72,0,0
0.77,0,0
0.82,0,0
0.87,0,0
0.92,0,0
0.97,0,0
1.02,3,0
1.07,3,1.89
1.12,3,3.5
1.18,3,4.46
1.23,3,4.95
1.28,3,5.2
1.33,3,5.35
1.38,3,5.43
1.43,3,5.32
1.49,3,5.47
1.54,3,5.54
1.59,3,5.51
1.64,3,5.54
1.69,3,5.4
1.74,3,5.47
1.79,3,5.54
1.84,3,5.36
1.9,3,5.51
1.95,3,5.4
2,3,5.47
2.05,3,5.47
2.1,3,5.51
2.15,3,5.47
2.2,3,5.4
2.25,3,5.51
2.31,3,5.47
2.36,3,5.47
2.41,3,5.51
2.46,3,5.3
2.51,3,5.54
2.56,3,5.51
2.61,3,5.51
2.66,3,5.51
2.72,3,5.44
2.77,3,5.51
2.82,3,5.54
2.87,3,5.47
2.92,3,5.51
2.97,3,5.4
3.02,3,5.36
3.08,0,5.51
3.13,0,3.54
3.18,0,1.5
3.23,0,0.38
3.28,0,0.04
3.33,0,0
3.38,0,0
3.43,0,0
3.49,0,0
3.54,0,0
3.59,0,0
3.64,0,0
3.69,0,0
3.74,0,0
3.79,0,0
3.84,0,0
3.89,0,0
3.95,0,0
4,0,0
4.05,0,0
